master_cusip,dateann,master_deal_no,tmanames,amanames,afinancial,albofirm,alp,dateannorig,form,status,anation,apublic,deal_value
749121,2010-04-22,2154221020,Qwest Commun Intl Inc,CenturyLink Inc,No,No,No,2010-02-07,Merger,Completed,United States,Public,22276.241
549271,2011-03-14,2289520020,Lubrizol Corp,Berkshire Hathaway Inc,No,No,No,2011-03-14,Merger,Completed,United States,Public,9493.282
382388,2011-09-21,2345907020,Goodrich Corp,United Technologies Corp,No,No,No,2011-09-19,Merger,Completed,United States,Public,18082.723
629491,2012-12-20,2479748020,NYSE Euronext,IntercontinentalExchange Inc,No,No,No,2012-12-20,Merger,Completed,United States,Public,8052.28
345838,2014-02-18,2610322020,Forest Laboratories Inc,Actavis PLC,No,No,No,2014-02-18,Merger,Completed,United States,Public,25439.73
0A6710,2014-02-19,2611055020,WhatsApp Inc,Facebook Inc,No,No,No,2014-02-19,Merger,Completed,United States,Public,19467.709
073302,2016-10-23,2634022020,B/E Aerospace Inc,Rockwell Collins Inc,No,No,No,2014-05-04,Merger,Completed,United States,Public,8200.755
G2554F,2014-06-15,2646102040,Covidien PLC,Medtronic Inc,No,No,No,2014-06-15,Merger,Completed,United States,Public,42729.867
87311L,2014-06-16,2646335020,tw telecom inc,Level 3 Commun Inc,No,No,No,2014-06-13,Merger,Completed,United States,Public,7262.092
594901,2014-06-23,2646955020,MICROS Systems Inc,Oracle Corp,No,No,No,2014-06-17,Merger,Completed,United States,Public,5327.7
05874B,2014-08-01,2660504020,Bally Technologies Inc,Scientific Games Corp,No,No,No,2014-08-01,Merger,Completed,United States,Public,5134.437
14170T,2014-10-05,2682158020,CareFusion Corp,Becton Dickinson & Co,No,No,No,2014-10-05,Merger,Completed,United States,Public,12000.105
G3727Q,2015-03-02,2724775020,Freescale Semiconductor Ltd,NXP Semiconductors NV,No,No,No,2015-02-13,Merger,Completed,United States,Public,11224.286
6C6215,2015-07-09,2735179020,Procter & Gamble Co-Beauty,Coty Inc,No,No,No,2015-03-18,Merger,Completed,United States,Public,14917.76
867363,2015-08-12,2744421020,SunGard Data Systems Inc,Fidelity Natl Info Svcs Inc,No,No,No,2015-04-18,Merger,Completed,United States,Public,9100
111320,2015-05-28,2756356020,Broadcom Corp,Avago Technologies Ltd,No,No,No,2015-05-27,Merger,Completed,United States,Public,37849.312
729251,2015-11-08,2818341020,Plum Creek Timber Co Inc,Weyerhaeuser Co,No,No,No,2015-11-08,Merger,Completed,United States,Public,8462.398
887317,2016-10-22,3021003020,Time Warner Inc,AT&T Inc,No,No,No,2016-10-21,Merger,Completed,United States,Public,79406.46
966837,2017-06-16,3097373020,Whole Foods Market Inc,Amazon.com Inc,No,No,No,2017-04-10,Merger,Completed,United States,Public,13561.398
5F5286,2017-06-01,3109800040,WIRTGEN GROUP Holding GmbH,Deere & Co,No,No,No,2017-06-01,Merger,Completed,United States,Public,5173.772
811065,2017-07-31,3129247020,Scripps Networks Interactive,Discovery Communications Inc,No,No,No,2017-07-18,Merger,Completed,United States,Public,11783.012
49803L,2017-08-28,3142801020,Kite Pharma Inc,Gilead Sciences Inc,No,No,No,2017-08-28,Merger,Completed,United States,Public,11855.537
867914,2019-02-07,3343793020,SunTrust Banks Inc,BB&T Corp,No,No,No,2019-02-07,Merger,Completed,United States,Public,28281.594
94946T,2019-03-27,3371414020,WellCare Health Plans Inc,Centene Corp,No,No,No,2019-03-26,Merger,Completed,United States,Public,15568.278
